日期,有标准日结,腾讯USD,平台成本USD,差额USD,疑似测试USD,腾讯Token,平台Token合计,腾讯Tok环比,腾讯成本环比,平台Tok环比,平台成本环比,标记
2026-07-01,Y,0.000004,0.582429,-0.582425,0.000000,23,355164,新,新,新,新,平台高(费或多在月桶)
2026-07-02,Y,3.146983,0.184800,2.962183,2.962183,20455388,4,+87980061%,+87980061%,-100%,-68%,疑似测试/未入账
2026-07-03,N,,2.965070,,0.000000,,39721580,—,—,+993039400%,+1504%,仅平台(无标准日结)
2026-07-04,N,,1.823088,,0.000000,,6347606,—,—,-84%,-39%,仅平台(无标准日结)
2026-07-06,N,,0.440995,,0.000000,,1502126,—,—,-76%,-76%,仅平台(无标准日结)
2026-07-07,Y,0.923077,0.000000,0.923077,0.923077,0,0,-100%,-71%,-100%,-100%,疑似测试/未入账
2026-07-08,Y,0.461538,1.549194,-1.087656,0.000000,0,3257065,—,-50%,新,新,平台高(费或多在月桶)
2026-07-09,N,,0.457952,,0.000000,,1344795,—,—,-59%,-70%,仅平台(无标准日结)
2026-07-10,Y,0.272310,1.171840,-0.899530,0.000000,270012,723983,新,-41%,-46%,+156%,平台高(费或多在月桶)
2026-07-13,Y,10.649363,9.096689,1.552674,1.552674,65845860,2800912,+24286%,+3811%,+287%,+676%,疑似测试/未入账
2026-07-14,N,,0.623638,,0.000000,,150975,—,—,-95%,-93%,仅平台(无标准日结)
2026-07-15,N,,0.509334,,0.000000,,97330,—,—,-36%,-18%,仅平台(无标准日结)
2026-07-16,Y,0.001281,20.014649,-20.013368,0.000000,8325,7477998,-100%,-100%,+7583%,+3830%,平台高(费或多在月桶)
2026-07-17,Y,0.461538,41.633005,-41.171467,0.000000,0,34805774,-100%,+35936%,+365%,+108%,平台高(费或多在月桶)
2026-07-18,N,,0.326186,,0.000000,,517198,—,—,-99%,-99%,仅平台(无标准日结)
2026-07-20,N,,2.699240,,0.000000,,1043197,—,—,+102%,+728%,仅平台(无标准日结)
2026-07-21,N,,5.463499,,0.000000,,10562435,—,—,+913%,+102%,仅平台(无标准日结)
2026-07-22,Y,0.014984,12.600768,-12.585784,0.000000,97397,16123509,新,-97%,+53%,+131%,平台高(费或多在月桶)
2026-07-23,Y,0.425846,5.345527,-4.919681,0.000000,0,1635667,-100%,+2742%,-90%,-58%,平台高(费或多在月桶)
2026-07-24,Y,0.243538,4.816382,-4.572844,0.000000,0,1198659,—,-43%,-27%,-10%,平台高(费或多在月桶)
2026-07-25,N,,2.115905,,0.000000,,18885,—,—,-98%,-56%,仅平台(无标准日结)
2026-07-27,N,,2.689134,,0.000000,,2238443,—,—,+11753%,+27%,仅平台(无标准日结)
2026-07-28,N,,4.003142,,0.000000,,2473119,—,—,+10%,+49%,仅平台(无标准日结)
2026-07-29,N,,1.269162,,0.000000,,280413,—,—,-89%,-68%,仅平台(无标准日结)
