支付者UIN,使用者UIN,操作者UIN,产品名称,子产品名称,计费模式,交易类型,订单ID,交易ID,关联单据ID,扣费时间,开始使用时间,结束使用时间,资源ID,实例名称,实例类型,配置属性,项目名称,国内国际,地域,可用区,组件类型,组件名称,价格属性,刊例价,优惠后单价,价格单位,用量,用量单位,使用时长,时长单位,原始用量/时长,抵扣用量/时长(含资源包),原价(元),预留实例抵扣原价(元),预留实例抵扣时长,节省计划抵扣金额,节省计划抵扣率,节省计划抵扣原价(元),折扣率,混合折扣率,优惠后总价(元),优惠券支付(元),赠送金支付(元),分成金支付(元),现金支付(元),备注属性,计算规则说明,计费规则,产品编码,子产品编码,组件类型编码,组件编码,账单记录ID,地域编码,可用区编码,优惠对象,优惠类型,优惠内容,账单月
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122497262652	","","2026-08-06 22:09:30","2026-08-06 19:00:00","2026-08-06 19:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Input","-","0.02000000","0.02000000","元/1000token/小时","518.61000000","1000token","1.00000000","小时","-","-","10.37220000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","10.37220000","0.00000000","0.00000000","0.00000000","10.37220000","serialId: 8254d2055c97fb0e75adf1bdec4d3452;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_input","2085369279444430854","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122067531742	","","2026-08-06 16:09:23","2026-08-06 13:00:00","2026-08-06 13:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Output","-","0.10000000","0.10000000","元/1000token/小时","0.38000000","1000token","1.00000000","小时","-","-","0.03800000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.03800000","0.00000000","0.00000000","0.00000000","0.03800000","serialId: 233ee7a34b327ee0832df3ba91261834;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_output","2085278675473022980","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122067531742	","","2026-08-06 16:09:23","2026-08-06 13:00:00","2026-08-06 13:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Input","-","0.02000000","0.02000000","元/1000token/小时","2.03600000","1000token","1.00000000","小时","-","-","0.04072000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.04072000","0.00000000","0.00000000","0.00000000","0.04072000","serialId: 8254d2055c97fb0e75adf1bdec4d3452;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_input","2085278675473022979","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122067531742	","","2026-08-06 16:09:23","2026-08-06 13:00:00","2026-08-06 13:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Cache","-","0.00200000","0.00200000","元/1000token/小时","990.46400000","1000token","1.00000000","小时","-","-","1.98092800","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","1.98092800","0.00000000","0.00000000","0.00000000","1.98092800","serialId: 893ca27ea9825066d991e332a28a7137;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_cache","2085278675473022978","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122497262652	","","2026-08-06 22:09:30","2026-08-06 19:00:00","2026-08-06 19:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Output","-","0.10000000","0.10000000","元/1000token/小时","1.04800000","1000token","1.00000000","小时","-","-","0.10480000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.10480000","0.00000000","0.00000000","0.00000000","0.10480000","serialId: 233ee7a34b327ee0832df3ba91261834;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_output","2085369279444430855","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260807014123893419722	","","2026-08-07 17:15:37","2026-08-07 14:00:00","2026-08-07 14:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Input","-","0.02000000","0.02000000","元/1000token/小时","0.01400000","1000token","1.00000000","小时","-","-","0.00028000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00028000","0.00000000","0.00000000","0.00000000","0.00028000","serialId: 8254d2055c97fb0e75adf1bdec4d3452;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_input","2085657683071090693","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014121993953812	","","2026-08-06 15:03:40","2026-08-06 12:00:00","2026-08-06 12:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Input","-","0.02000000","0.02000000","元/1000token/小时","1193.54900000","1000token","1.00000000","小时","-","-","23.87098000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","23.87098000","0.00000000","0.00000000","0.00000000","23.87098000","serialId: 8254d2055c97fb0e75adf1bdec4d3452;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_input","2085262107108196358","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122139808132	","","2026-08-06 17:09:28","2026-08-06 14:00:00","2026-08-06 14:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Cache","-","0.00200000","0.00200000","元/1000token/小时","0.18000000","1000token","1.00000000","小时","-","-","0.00036000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00036000","0.00000000","0.00000000","0.00000000","0.00036000","serialId: 893ca27ea9825066d991e332a28a7137;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_cache","2085293790453047299","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014121993953812	","","2026-08-06 15:03:40","2026-08-06 12:00:00","2026-08-06 12:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Output","-","0.10000000","0.10000000","元/1000token/小时","4.81700000","1000token","1.00000000","小时","-","-","0.48170000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.48170000","0.00000000","0.00000000","0.00000000","0.48170000","serialId: 233ee7a34b327ee0832df3ba91261834;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_output","2085262107108196359","1","100001","","","","2026-08	"
"100048741014	","100048741014	","100048741014	","TokenHub","第三方大模型_后付费","按量计费","按量计费小时结","-	","20260806014122143506962	","","2026-08-06 17:15:51","2026-08-06 14:00:00","2026-08-06 14:59:59","kimi-k3","","-","apiKeyId:ak-20260629-132d9a7452713190701047fcf51cf2e8","默认项目","国内","华南地区（广州）","广州一区","Kimi K3","Kimi K3 Input","-","0.02000000","0.02000000","元/1000token/小时","499.45500000","1000token","1.00000000","小时","-","-","9.98910000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","9.98910000","0.00000000","0.00000000","0.00000000","9.98910000","serialId: 8254d2055c97fb0e75adf1bdec4d3452;","-","","p_lmp","sp_lmp_tplm_postpay","v_lmp_tplm_postpay_kimi_k3","sv_lmp_tplm_postpay_kimi_k3_input","2085295346233655300","1","100001","","","","2026-08	"
