model,display_name,tier,tier_key,online_usd,draft_usd,delta_usd,delta_pct,verdict
GG-2.5,Nano-2.5,1k,res:1k,0.0414,0.039,-0.0024,-5.8,降价
GG-2.5,Nano-2.5,2k,res:2k,0.0586,0.051,-0.0076,-13,降价
GG-2.5,Nano-2.5,4k,res:4k,0.0635,0.063,-0.0005,-0.8,降价
GG-3.0,Nano-3.0,1k,res:1k,0.137931,0.134,-0.003931,-2.8,降价
GG-3.0,Nano-3.0,2k,res:2k,0.248276,0.134,-0.114276,-46,降价
GG-3.1,Nano-3.1,1k,res:1k,0.077,0.067,-0.01,-13,降价
GG-3.1,Nano-3.1,2k,res:2k,0.1154,0.101,-0.0144,-12.5,降价
GG-3.1,Nano-3.1,4k,res:4k,0.154483,0.151,-0.003483,-2.3,降价
GG-3.1,Nano-3.1,lt_1k,res:lt_1k,0.0513,0.0513,0,0,一致
Hunyuan-3.0,Hunyuan-3.0,1k,res:1k,0.0308,0.030769,-0.000031,-0.1,一致
Hunyuan-3.0,Hunyuan-3.0,2k,res:2k,0.0431,0.030769,-0.012331,-28.6,降价
Hunyuan-3.0,Hunyuan-3.0,4k,res:4k,0.049655,0.030769,-0.018886,-38,降价
Jimeng-4.0,Jimeng-4.0,1k,res:1k,0.0339,0.033846,-0.000054,-0.2,一致
Jimeng-4.0,Jimeng-4.0,2k,res:2k,0.0339,0.033846,-0.000054,-0.2,一致
Jimeng-4.0,Jimeng-4.0,4k,res:4k,0.0339,0.033846,-0.000054,-0.2,一致
Kling-2.1,Kling-2.1,1k,res:1k,0.013793,0.015385,0.001592,11.5,涨价
Kling-2.1,Kling-2.1,2k,res:2k,0.077241,0.015385,-0.061856,-80.1,降价
Kling-3.0,Kling-3.0,1k,res:1k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-3.0,Kling-3.0,2k,res:2k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-3.0,Kling-3.0,4k,res:4k,0.055172,0.061538,0.006366,11.5,涨价
Kling-3.0-omni,Kling-3.0-Omni,1k,res:1k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-3.0-omni,Kling-3.0-Omni,2k,res:2k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-3.0-omni,Kling-3.0-Omni,4k,res:4k,0.055172,0.061538,0.006366,11.5,涨价
Kling-O1,Kling-O1,1k,res:1k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-O1,Kling-O1,2k,res:2k,0.0308,0.030769,-0.000031,-0.1,一致
Kling-O1,Kling-O1,4k,res:4k,0.055172,0.061538,0.006366,11.5,涨价
MJ-v7,Midjourney-v7,1k,res:1k,0.0462,0.039,-0.0072,-15.6,降价
MJ-v7,Midjourney-v7,2k,res:2k,0.052414,0.051,-0.001414,-2.7,降价
MJ-v7,Midjourney-v7,4k,res:4k,0.063448,0.063,-0.000448,-0.7,降价
OG-image2-high,Image-2.0 High,1k,res:1k,1.583,0.211,-1.372,-86.7,降价
OG-image2-high,Image-2.0 High,2k,res:2k,3.21,0.428,-2.782,-86.7,降价
OG-image2-high,Image-2.0 High,4k,res:4k,5.34,0.712,-4.628,-86.7,降价
OG-image2-low,Image-2.0 Low,1k,res:1k,0.045,0.006,-0.039,-86.7,降价
OG-image2-low,Image-2.0 Low,2k,res:2k,0.09,0.012,-0.078,-86.7,降价
OG-image2-low,Image-2.0 Low,4k,res:4k,0.15,0.02,-0.13,-86.7,降价
OG-image2-medium,Image-2.0 Medium,1k,res:1k,0.398,0.053,-0.345,-86.7,降价
OG-image2-medium,Image-2.0 Medium,2k,res:2k,0.803,0.107,-0.696,-86.7,降价
OG-image2-medium,Image-2.0 Medium,4k,res:4k,1.335,0.178,-1.157,-86.7,降价
qwen-0925,Qwen-0925,1k,res:1k,0.0462,0.038462,-0.007738,-16.7,降价
qwen-0925,Qwen-0925,2k,res:2k,0.052414,0.038462,-0.013952,-26.6,降价
qwen-0925,Qwen-0925,4k,res:4k,0.063448,0.038462,-0.024986,-39.4,降价
SI-4.0,Seedream-4.0,1k,res:1k,0.0308,0.030769,-0.000031,-0.1,一致
SI-4.0,Seedream-4.0,2k,res:2k,0.0308,0.030769,-0.000031,-0.1,一致
SI-4.0,Seedream-4.0,4k,res:4k,0.0308,0.030769,-0.000031,-0.1,一致
SI-4.5,Seedream-4.5,1k,res:1k,0.0385,0.038462,-0.000038,-0.1,一致
SI-4.5,Seedream-4.5,2k,res:2k,0.0385,0.038462,-0.000038,-0.1,一致
SI-4.5,Seedream-4.5,4k,res:4k,0.0385,0.038462,-0.000038,-0.1,一致
SI-5.0-lite,Seedream-5.0-lite,1k,res:1k,0.0339,0.033846,-0.000054,-0.2,一致
SI-5.0-lite,Seedream-5.0-lite,2k,res:2k,0.0339,0.033846,-0.000054,-0.2,一致
SI-5.0-lite,Seedream-5.0-lite,4k,res:4k,0.0339,0.033846,-0.000054,-0.2,一致
Vidu-q2,Vidu Q2,1k,res:1k,0.0577,0.028846,-0.028854,-50,降价
Vidu-q2,Vidu Q2,2k,res:2k,0.077,0.038462,-0.038538,-50,降价
Vidu-q2,Vidu Q2,4k,res:4k,0.0482,0.048077,-0.000123,-0.3,一致
