厂商,上游模型,Trinity ID,档位,官方价,上游价,刊例价,上游vs官方,刊例vs上游
DeepSeek,kimi-k2.7-code,kimi-k2.7-code,统一价,入 ¥6.5 · 出 ¥27 · 缓 ¥1.3,入 $0.95 · 出 $4 · 缓 $0.19,入 $1 · 出 $4.153846 · 缓 ⚠,⚠ 入-5% 出-3.7% 缓-5%,⚠ 入-5% 出-3.7%
Intent understanding,qwen-flash-character,-,统一价,—,入 $0.05 · 出 $0.4 · 缓 $0.01,—,—,—
Intent understanding,qwen-plus-character,-,统一价,—,入 $0.5 · 出 $1.4 · 缓 $0.1,—,—,—
Intent understanding,qwen-plus-character-ja,-,统一价,—,入 $0.5 · 出 $1.4 · 缓 $0.1,—,—,—
MiniMax,glm-5.2,glm-5.2,flat-rate pricing,入 ¥8 · 出 ¥28 · 缓 ¥2,入 $1.400 · 出 $4.400 · 缓 $0.28,入 $1.230769 · 出 $4.307692 · 缓 $0.307692,⚠ 入+13.7% 出+2.1% 缓-9%,⚠ 入+13.8% 出+2.1% 缓-9%
MiniMax,glm-5.2-fast-preview,-,flat-rate pricing,—,入 $2.800 · 出 $8.800 · 缓 $0.56,—,—,—
More models,qwen-max,qwen-max,统一价,入 ¥2.4 · 出 ¥9.6,入 $1.6 · 出 $6.4 · 缓 $0.32,入 $1.6 · 出 $6.4 · 缓 $0.16,⚠ 入+333.3% 出+333.3%,⚠ 缓+100%
More models,qwen-vl-max,-,统一价,—,入 $0.8 · 出 $3.2 · 缓 $0.16,—,—,—
More models,qwen-vl-plus,-,统一价,—,入 $0.21 · 出 $0.63 · 缓 $0.042,—,—,—
QVQ,qwen3-vl-flash,-,0<Token≤32K,—,入 $0.05 · 出 $0.4 · 缓 $0.01,—,—,—
,,,32K<Token≤128K,—,入 $0.075 · 出 $0.6 · 缓 $0.015,—,—,—
,,,128K<Token≤256K,—,入 $0.12 · 出 $0.96 · 缓 $0.024,—,—,—
QVQ,qwen3-vl-flash-2025-10-15,-,0<Token≤32K,—,入 $0.05 · 出 $0.4 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $0.075 · 出 $0.6 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $0.12 · 出 $0.96 · 缓 ⚠,—,—,—
QVQ,qwen3-vl-flash-2026-01-22,-,0<Token≤32K,—,入 $0.05 · 出 $0.4 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $0.075 · 出 $0.6 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $0.12 · 出 $0.96 · 缓 ⚠,—,—,—
QVQ,qwen3-vl-plus,-,0<Token≤32K,—,入 $0.2 · 出 $1.6 · 缓 $0.04,—,—,—
,,,32K<Token≤128K,—,入 $0.3 · 出 $2.4 · 缓 $0.06,—,—,—
,,,128K<Token≤256K,—,入 $0.6 · 出 $4.8 · 缓 $0.12,—,—,—
QVQ,qwen3-vl-plus-2025-09-23,-,0<Token≤32K,—,入 $0.2 · 出 $1.6 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $0.3 · 出 $2.4 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $0.6 · 出 $4.8 · 缓 ⚠,—,—,—
QVQ,qwen3-vl-plus-2025-12-19,-,0<Token≤32K,—,入 $0.2 · 出 $1.6 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $0.3 · 出 $2.4 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $0.6 · 出 $4.8 · 缓 ⚠,—,—,—
Qwen,deepseek-v3.2,deepseek-v3.2,统一价,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 $0.57 · 出 $1.71 · 缓 $0.114,入 $0.307692 · 出 $0.461538 · 缓 $0.061538,⚠ 入+85.2% 出+270.5% 缓+85.2%,⚠ 入+85.3% 出+270.5% 缓+85.3%
Qwen,deepseek-v4-flash,deepseek-v4-flash,统一价,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 $0.200 · 出 $0.400 · 缓 $0.04,入 $0.153846 · 出 $0.307692 · 缓 $0.003077,⚠ 入+30% 出+30% 缓+1200%,⚠ 入+30% 出+30% 缓+1200%
Qwen,deepseek-v4-pro,deepseek-v4-pro,统一价,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 $2.400 · 出 $4.800 · 缓 $0.2,入 $0.461538 · 出 $0.923077 · 缓 $0.003846,⚠ 入+420% 出+420% 缓+5100%,⚠ 入+420% 出+420% 缓+5100.2%
Qwen,qvq-max,-,统一价,—,入 $1.2 · 出 $4.8 · 缓 ⚠,—,—,—
Qwen,qwen-flash,qwen-flash,0<Token≤256K,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,入 $0.05 · 出 $0.4 · 缓 $0.01,入 $0.05 · 出 $0.4 · 缓 $0.005,⚠ 入+116.7% 出+73.3% 缓+116.7%,⚠ 缓+100%
Qwen,qwen-flash-2025-07-28,-,0<Token≤256K,—,入 $0.05 · 出 $0.4 · 缓 ⚠,—,—,—
Qwen,qwen-mt-flash,-,统一价,—,入 $0.16 · 出 $0.49 · 缓 ⚠,—,—,—
Qwen,qwen-mt-plus,-,统一价,—,入 $2.46 · 出 $7.37 · 缓 ⚠,—,—,—
Qwen,qwen-mt-turbo,-,统一价,—,入 $0.16 · 出 $0.49 · 缓 ⚠,—,—,—
Qwen,qwen-plus,qwen-plus,0<Token≤256K,入 ¥2.4 · 出 ¥20 · 缓 ¥0.48,入 $0.4 · 出 $1.2 · 缓 $0.08,入 $0.4 · 出 $1.2 · 缓 $0.04,⚠ 入+8.3% 出-61% 缓+8.3%,⚠ 缓+100%
Qwen,qwen-plus-2025-01-25,-,统一价,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-plus-2025-04-28,-,统一价,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-plus-2025-07-14,-,统一价,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-plus-2025-07-28,-,0<Token≤256K,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-plus-2025-09-11,-,0<Token≤256K,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-plus-latest,-,0<Token≤256K,—,入 $0.4 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen-turbo,qwen-turbo,统一价,入 ¥0.3 · 出 ¥0.6,入 $0.05 · 出 $0.2 · 缓 $0.01,入 $0.05 · 出 $0.2 · 缓 $0.005,⚠ 入+8.3% 出+116.7%,⚠ 缓+100%
Qwen,qwen-vl-ocr,-,统一价,—,入 $0.07 · 出 $0.16 · 缓 ⚠,—,—,—
Qwen,qwen3-8b,-,统一价,—,入 $0.18 · 出 $0.7 · 缓 ⚠,—,—,—
Qwen,qwen3-14b,-,统一价,—,入 $0.35 · 出 $1.4 · 缓 ⚠,—,—,—
Qwen,qwen3-30b-a3b,-,统一价,—,入 $0.2 · 出 $0.8 · 缓 ⚠,—,—,—
Qwen,qwen3-30b-a3b-instruct-2507,-,统一价,—,入 $0.2 · 出 $0.8 · 缓 ⚠,—,—,—
Qwen,qwen3-32b,-,统一价,—,入 $0.16 · 出 $0.64 · 缓 ⚠,—,—,—
Qwen,qwen3-235b-a22b,-,统一价,—,入 $0.7 · 出 $2.8 · 缓 ⚠,—,—,—
Qwen,qwen3-235b-a22b-instruct-2507,-,统一价,—,入 $0.23 · 出 $0.92 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-30b-a3b-instruct,-,0<Token≤32K,—,入 $0.45 · 出 $2.25 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-480b-a35b-instruct,-,0<Token≤32K,—,入 $1.5 · 出 $7.5 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-flash,-,0<Token≤32K,—,入 $0.3 · 出 $1.5 · 缓 $0.06,—,—,—
Qwen,qwen3-coder-flash-2025-07-28,-,0<Token≤32K,—,入 $0.3 · 出 $1.5 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-next,-,0<Token≤32K,—,入 $0.3 · 出 $1.5 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-plus,-,0<Token≤32K,—,入 $1 · 出 $5 · 缓 $0.2,—,—,—
Qwen,qwen3-coder-plus-2025-07-22,-,0<Token≤32K,—,入 $1 · 出 $5 · 缓 ⚠,—,—,—
Qwen,qwen3-coder-plus-2025-09-23,-,0<Token≤32K,—,入 $1 · 出 $5 · 缓 ⚠,—,—,—
Qwen,qwen3-max,-,0<Token≤32K,—,入 $1.2 · 出 $6 · 缓 $0.24,—,—,—
,,,32K<Token≤128K,—,入 $2.4 · 出 $12 · 缓 $0.48,—,—,—
,,,128K<Token≤256K,—,入 $3 · 出 $15 · 缓 $0.6,—,—,—
Qwen,qwen3-max-2025-09-23,-,0<Token≤32K,—,入 $1.2 · 出 $6 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $2.4 · 出 $12 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $3 · 出 $15 · 缓 ⚠,—,—,—
Qwen,qwen3-max-2026-01-23,-,0<Token≤32K,—,入 $1.2 · 出 $6 · 缓 ⚠,—,—,—
,,,32K<Token≤128K,—,入 $2.4 · 出 $12 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $3 · 出 $15 · 缓 ⚠,—,—,—
Qwen,qwen3-max-preview,-,0<Token≤32K,—,入 $1.2 · 出 $6 · 缓 $0.24,—,—,—
,,,32K<Token≤128K,—,入 $2.4 · 出 $12 · 缓 $0.48,—,—,—
,,,128K<Token≤256K,—,入 $3 · 出 $15 · 缓 $0.6,—,—,—
Qwen,qwen3-next-80b-a3b-instruct,-,统一价,—,入 $0.15 · 出 $1.2 · 缓 ⚠,—,—,—
Qwen,qwen3-vl-8b-instruct,-,统一价,—,入 $0.18 · 出 $0.7 · 缓 ⚠,—,—,—
Qwen,qwen3-vl-30b-a3b-instruct,-,统一价,—,入 $0.2 · 出 $0.8 · 缓 ⚠,—,—,—
Qwen,qwen3-vl-32b-instruct,-,统一价,—,入 $0.16 · 出 $0.64 · 缓 ⚠,—,—,—
Qwen,qwen3-vl-235b-a22b-instruct,-,统一价,—,入 $0.4 · 出 $1.6 · 缓 ⚠,—,—,—
Qwen,qwen3.5-397b-a17b,-,0<Token≤256K,—,入 $0.6 · 出 $3.6 · 缓 ⚠,—,—,—
Qwen,qwen3.5-plus,qwen3.5-plus,0<Token≤256K,入 ¥2 · 出 ¥12 · 缓 ¥0.2,入 $0.4 · 出 $2.4 · 缓 ⚠,入 $0.4 · 出 $2.4 · 缓 $0.04,⚠ 入+30% 出+30%,✅ 一致
Qwen,qwen3.5-plus-2026-02-15,-,0<Token≤256K,—,入 $0.4 · 出 $2.4 · 缓 ⚠,—,—,—
Qwen,qwen3.5-plus-2026-04-20,-,0<Token≤256K,—,入 $0.4 · 出 $2.4 · 缓 ⚠,—,—,—
Qwen,qwen3.6-27b,-,0<Token≤256K,—,入 $0.6 · 出 $3.6 · 缓 ⚠,—,—,—
Qwen,qwen3.6-35b-a3b,-,0<Token≤256K,—,入 $0.375 · 出 $2.25 · 缓 ⚠,—,—,—
Qwen,qwen3.6-flash,qwen3.6-flash,0<Token≤256K,入 ¥1.2 · 出 ¥7.2 · 缓 ¥0.24,入 $0.25 · 出 $1.5 · 缓 ⚠,入 $0.25 · 出 $1.5 · 缓 $0.025,⚠ 入+35.4% 出+35.4%,✅ 一致
Qwen,qwen3.6-flash-2026-04-16,-,0<Token≤256K,—,入 $0.25 · 出 $1.5 · 缓 ⚠,—,—,—
Qwen,qwen3.6-max-preview,-,0<Token≤128K,—,入 $1.3 · 出 $7.8 · 缓 ⚠,—,—,—
,,,128K<Token≤256K,—,入 $2 · 出 $12 · 缓 ⚠,—,—,—
