厂商,上游模型,Trinity ID,档位,官方价,上游价,刊例价,上游vs官方,刊例vs上游
3D模型生成,tripo-h3.1,-,统一价,—,入 ⚠ · 出 ¥0.7 · 缓 ⚠,—,—,—
3D模型生成,tripo-p1.0,-,统一价,—,入 ⚠ · 出 ¥2.1 · 缓 ⚠,—,—,—
表情包Emoji,videoretalk,-,统一价,—,入 ⚠ · 出 ¥0.08 · 缓 ⚠,—,—,—
更多模型,qwen-coder-plus,-,无阶梯计价,—,入 ¥3.5 · 出 ¥7 · 缓 ⚠,—,—,—
更多模型,qwen-coder-turbo,-,无阶梯计价,—,入 ¥2 · 出 ¥6 · 缓 ⚠,—,—,—
更多模型,qwen-max,qwen-max,无阶梯计价,入 ¥2.4 · 出 ¥9.6,入 ¥2.4 · 出 ¥9.6 · 缓 ⚠,入 $1.6 · 出 $6.4 · 缓 $0.16,✅ 一致,✅ 一致(÷隐含)
更多模型,qwen-omni-turbo,-,统一价,—,入 ¥0.4 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-2025-01-19,-,统一价,—,入 ¥0.4 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-2025-03-26,-,统一价,—,入 ¥0.4 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-latest,-,统一价,—,入 ¥0.4 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-realtime,-,统一价,—,入 ¥1.6 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-realtime-2025-05-08,-,统一价,—,入 ¥1.6 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-omni-turbo-realtime-latest,-,统一价,—,入 ¥1.6 · 出 ¥25 · 缓 ⚠,—,—,—
更多模型,qwen-plus-2024-12-20,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ⚠,—,—,—
更多模型,qwen-plus-2025-01-12,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ⚠,—,—,—
更多模型,qwen-plus-2025-01-25,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ⚠,—,—,—
更多模型,qwen-vl-max,-,无阶梯计价,—,入 ¥1.6 · 出 ¥4 · 缓 ¥0.32,—,—,—
更多模型,qwen-vl-plus,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
更多模型,qwen3-omni-flash,-,统一价,—,入 ¥1.8 · 出 ¥15.8 · 缓 ⚠,—,—,—
更多模型,qwen3-omni-flash-2025-09-15,-,统一价,—,入 ¥1.8 · 出 ¥15.8 · 缓 ⚠,—,—,—
更多模型,qwen3-omni-flash-2025-12-01,-,统一价,—,入 ¥1.8 · 出 ¥15.8 · 缓 ⚠,—,—,—
更多模型,qwen3-omni-flash-realtime,-,统一价,—,入 ¥2.2 · 出 ¥18.9 · 缓 ⚠,—,—,—
更多模型,qwen3-omni-flash-realtime-2025-09-15,-,统一价,—,入 ¥2.2 · 出 ¥18.9 · 缓 ⚠,—,—,—
更多模型,qwen3-omni-flash-realtime-2025-12-01,-,统一价,—,入 ¥2.2 · 出 ¥18.9 · 缓 ⚠,—,—,—
千问,deepseek-r1,-,统一价,—,入 ¥4 · 出 ¥16 · 缓 ¥1.6,—,—,—
千问,deepseek-r1-0528,-,统一价,—,入 ¥4 · 出 ¥16 · 缓 ¥1.6,—,—,—
千问,deepseek-r1-distill-qwen-7b,-,统一价,—,入 ¥0.5 · 出 ¥1 · 缓 ¥0.1,—,—,—
千问,deepseek-r1-distill-qwen-14b,-,统一价,—,入 ¥1 · 出 ¥3 · 缓 ¥0.2,—,—,—
千问,deepseek-r1-distill-qwen-32b,-,统一价,—,入 ¥2 · 出 ¥6 · 缓 ¥0.4,—,—,—
千问,deepseek-v3,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ¥0.8,—,—,—
千问,deepseek-v3.1,-,统一价,—,入 ¥4 · 出 ¥12 · 缓 ¥1.6,—,—,—
千问,deepseek-v3.2,deepseek-v3.2,统一价,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 $0.307692 · 出 $0.461538 · 缓 $0.061538,✅ 一致,✅ 一致
千问,deepseek-v3.2-exp,-,统一价,—,入 ¥2 · 出 ¥3 · 缓 ¥0.4,—,—,—
千问,deepseek-v4-flash,deepseek-v4-flash,统一价,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 ¥1 · 出 ¥2 · 缓 ¥0.2,入 $0.153846 · 出 $0.307692 · 缓 $0.003077,⚠ 缓+900%,⚠ 入-13.3% 出-13.3% 缓+766.6%
千问,deepseek-v4-pro,deepseek-v4-pro,统一价,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 ¥12 · 出 ¥24 · 缓 ⚠,入 $0.461538 · 出 $0.923077 · 缓 $0.003846,⚠ 入+300% 出+300%,✅ 一致(÷隐含)
千问,qvq-max,-,统一价,—,入 ¥8 · 出 ¥32 · 缓 ⚠,—,—,—
千问,qvq-plus,-,统一价,—,入 ¥2 · 出 ¥5 · 缓 ⚠,—,—,—
千问,qwen-deep-research,-,统一价,—,入 ¥54 · 出 ¥163 · 缓 ⚠,—,—,—
千问,qwen-deep-research-2025-12-15,-,统一价,—,入 ¥79 · 出 ¥236 · 缓 ⚠,—,—,—
千问,qwen-doc-turbo,-,统一价,—,入 ¥0.6 · 出 ¥1 · 缓 ⚠,—,—,—
千问,qwen-flash,qwen-flash,0<Token≤128K,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,入 $0.05 · 出 $0.4 · 缓 $0.005,✅ 一致,⚠ 入-53.8% 出-42.3% 缓-7.7%
,,,128K<Token≤256K,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,入 $0.05 · 出 $0.4 · 缓 $0.005,✅ 一致,⚠ 出+25% 缓+100%
,,,256K<Token≤1M,入 ¥1.2 · 出 ¥12 · 缓 ¥0.24,入 ¥1.2 · 出 ¥12 · 缓 ¥0.24,入 $0.05 · 出 $0.4 · 缓 $0.005,✅ 一致,⚠ 出+25% 缓+100%
千问,qwen-flash-2025-07-28,-,0<Token≤128K,—,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,—,—,—
,,,128K<Token≤256K,—,入 ¥0.6 · 出 ¥6 · 缓 ¥0.12,—,—,—
,,,256K<Token≤1M,—,入 ¥1.2 · 出 ¥12 · 缓 ¥0.24,—,—,—
千问,qwen-long,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen-long-2025-01-25,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen-long-latest,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen-math-plus,-,统一价,—,入 ¥4 · 出 ¥12 · 缓 ⚠,—,—,—
千问,qwen-math-turbo,-,统一价,—,入 ¥2 · 出 ¥6 · 缓 ⚠,—,—,—
千问,qwen-mt-flash,-,统一价,—,入 ¥0.7 · 出 ¥1.95 · 缓 ⚠,—,—,—
