厂商,上游模型,Trinity ID,档位,官方价,上游价,刊例价,上游vs官方,刊例vs上游
混元,hunyuan-2.0-instruct-20251111,-,0<输入<=32k,—,入 ¥3.18 · 出 ¥7.95 · 缓 ⚠,—,—,—
,,,32k<输入<=128k,—,入 ¥4.505 · 出 ¥11.13 · 缓 ⚠,—,—,—
混元,hunyuan-2.0-thinking-20251109,-,0<输入<=32k,—,入 ¥3.975 · 出 ¥15.9 · 缓 ⚠,—,—,—
,,,32k<输入<=128k,—,入 ¥5.3 · 出 ¥21.2 · 缓 ⚠,—,—,—
混元,hunyuan-role-latest,hunyuan-role-latest,统一价,入 ¥2.4 · 出 ¥9.6,入 ¥2.4 · 出 ¥9.6 · 缓 ⚠,入 $0.369231 · 出 $1.476923 · 缓 ⚠,✅ 一致,✅ 一致
混元,hy-mt2-lite,hy-mt2-lite,统一价,入 ¥0.3 · 出 ¥1.2,入 ¥0.3 · 出 ¥1.2 · 缓 ⚠,入 $0.046154 · 出 $0.184615 · 缓 ⚠,✅ 一致,✅ 一致
混元,hy-mt2-plus,hy-mt2-plus,统一价,入 ¥0.5 · 出 ¥2,入 ¥0.5 · 出 ¥2 · 缓 ⚠,入 $0.076923 · 出 $0.307692 · 缓 ⚠,✅ 一致,✅ 一致
混元,hy-mt2-pro,hy-mt2-pro,统一价,入 ¥0.5 · 出 ¥2,入 ¥0.5 · 出 ¥2 · 缓 ⚠,入 $0.076923 · 出 $0.307692 · 缓 ⚠,✅ 一致,✅ 一致
混元,hy-role,hy-role,统一价,入 ¥2.4 · 出 ¥9.6,入 ¥2.4 · 出 ¥9.6 · 缓 ⚠,入 $0.369231 · 出 $1.476923 · 缓 ⚠,✅ 一致,✅ 一致
混元,hy3-preview,hy3-preview,输入<16k,入 ¥1.2 · 出 ¥4 · 缓 ¥0.4,入 ¥1.2 · 出 ¥4 · 缓 ¥0.4,入 $0.184615 · 出 $0.615385 · 缓 $0.061538,✅ 一致,✅ 一致
,,,16k<=输入<32k,入 ¥1.6 · 出 ¥6.4 · 缓 ¥0.6,入 ¥1.6 · 出 ¥6.4 · 缓 ¥0.6,入 $0.246154 · 出 $0.984615 · 缓 $0.092308,✅ 一致,✅ 一致
,,,输入>=32k,入 ¥2 · 出 ¥8 · 缓 ¥0.8,入 ¥2 · 出 ¥8 · 缓 ¥0.8,入 $0.307692 · 出 $1.230769 · 缓 $0.123077,✅ 一致,✅ 一致
通义千问,qwen3.5-flash,qwen3.5-flash,0<输入<=128k,入 ¥0.2 · 出 ¥2 · 缓 ¥0.02,入 ¥0.2 · 出 ¥2 · 缓 ¥0.02,入 $0.1 · 出 $0.4 · 缓 $0.01,✅ 一致,⚠ 入-69.2% 出-23.1% 缓-69.2%
,,,128k<输入<=256k,入 ¥0.8 · 出 ¥8 · 缓 ¥0.08,入 ¥0.8 · 出 ¥8 · 缓 ¥0.08,入 $0.1 · 出 $0.4 · 缓 $0.01,✅ 一致,⚠ 出+150%
,,,256k<输入<=1M,入 ¥1.2 · 出 ¥12 · 缓 ¥0.12,入 ¥1.2 · 出 ¥12 · 缓 ¥0.12,入 $0.1 · 出 $0.4 · 缓 $0.01,✅ 一致,⚠ 出+150%
通义千问,qwen3.5-plus,qwen3.5-plus,输入<=128k,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.08,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.08,入 $0.4 · 出 $2.4 · 缓 $0.04,✅ 一致,✅ 一致(÷隐含)
,,,128k<输入<=256k,入 ¥2 · 出 ¥12 · 缓 ¥0.2,入 ¥2 · 出 ¥12 · 缓 ¥0.2,入 $0.4 · 出 $2.4 · 缓 $0.04,✅ 一致,✅ 一致(÷隐含)
,,,256k<输入<=1M,入 ¥4 · 出 ¥24 · 缓 ¥0.4,入 ¥4 · 出 ¥24 · 缓 ¥0.4,入 $0.4 · 出 $2.4 · 缓 $0.04,✅ 一致,✅ 一致(÷隐含)
月之暗面,kimi-k2.5,kimi-k2.5,统一价,入 ¥4 · 出 ¥21 · 缓 ¥0.7,入 ¥4 · 出 ¥21 · 缓 ¥0.7,入 $0.615385 · 出 $3.230769 · 缓 $0.107692,✅ 一致,✅ 一致
月之暗面,kimi-k2.6,kimi-k2.6,统一价,入 ¥6.5 · 出 ¥27 · 缓 ¥1.1,入 ¥6.5 · 出 ¥27 · 缓 ¥1.1,入 $1 · 出 $4.153846 · 缓 $0.169231,✅ 一致,✅ 一致
月之暗面,kimi-k2.7-code,kimi-k2.7-code,统一价,入 ¥6.5 · 出 ¥27 · 缓 ¥1.3,入 ¥6.5 · 出 ¥27 · 缓 ¥1.3,入 $1 · 出 $4.153846 · 缓 ⚠,✅ 一致,✅ 一致
月之暗面,kimi-k2.7-code-highspeed,kimi-k2.7-code-highspeed,统一价,入 ¥13 · 出 ¥54 · 缓 ¥2.6,入 ¥13 · 出 ¥54 · 缓 ¥2.6,入 $2 · 出 $8.307692 · 缓 $0.4,✅ 一致,✅ 一致
智谱 AI,glm-5,glm-5,0<=输入<32k,入 ¥4 · 出 ¥18 · 缓 ¥1,入 ¥4 · 出 ¥18 · 缓 ¥1,入 $0.615385 · 出 $2.769231 · 缓 $0.153846,✅ 一致,✅ 一致
,,,32k<=输入,入 ¥6 · 出 ¥22 · 缓 ¥1.5,入 ¥6 · 出 ¥22 · 缓 ¥1.5,入 $0.923077 · 出 $3.384615 · 缓 $0.230769,✅ 一致,✅ 一致
智谱 AI,glm-5-turbo,glm-5-turbo,0<=输入<32k,入 ¥5 · 出 ¥22 · 缓 ¥1.2,入 ¥5 · 出 ¥22 · 缓 ¥1.2,入 $0.769231 · 出 $3.384615 · 缓 $0.184615,✅ 一致,✅ 一致
,,,输入>=32k,入 ¥7 · 出 ¥26 · 缓 ¥1.8,入 ¥7 · 出 ¥26 · 缓 ¥1.8,入 $1.076923 · 出 $4 · 缓 $0.276923,✅ 一致,✅ 一致
智谱 AI,glm-5.1,glm-5.1,0<=输入<32k,入 ¥6 · 出 ¥24 · 缓 ¥1.3,入 ¥6 · 出 ¥24 · 缓 ¥1.3,入 $0.923077 · 出 $3.692308 · 缓 $0.2,✅ 一致,✅ 一致
,,,32k<=输入,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥2,入 $1.230769 · 出 $4.307692 · 缓 $0.307692,✅ 一致,✅ 一致
智谱 AI,glm-5.2,glm-5.2,统一价,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥2,入 $1.230769 · 出 $4.307692 · 缓 $0.307692,✅ 一致,✅ 一致
智谱 AI,glm-5v-turbo,glm-5v-turbo,0<=输入<32k,入 ¥5 · 出 ¥22 · 缓 ¥1.2,入 ¥5 · 出 ¥22 · 缓 ¥1.2,入 $0.769231 · 出 $3.384615 · 缓 $0.184615,✅ 一致,✅ 一致
,,,输入>=32k,入 ¥7 · 出 ¥26 · 缓 ¥1.8,入 ¥7 · 出 ¥26 · 缓 ¥1.8,入 $1.076923 · 出 $4 · 缓 $0.276923,✅ 一致,✅ 一致
DeepSeek,deepseek-r1-0528,-,统一价,—,入 ¥4 · 出 ¥16 · 缓 ⚠,—,—,—
DeepSeek,deepseek-v3-0324,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
DeepSeek,deepseek-v3.1-terminus,-,统一价,—,入 ¥4 · 出 ¥12 · 缓 ⚠,—,—,—
DeepSeek,deepseek-v3.2,deepseek-v3.2,统一价,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 $0.307692 · 出 $0.461538 · 缓 $0.061538,✅ 一致,✅ 一致
DeepSeek,deepseek-v4-flash,deepseek-v4-flash,统一价,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 ¥1 · 出 ¥2 · 缓 ¥0.2,入 $0.153846 · 出 $0.307692 · 缓 $0.003077,⚠ 缓+900%,⚠ 入-13.3% 出-13.3% 缓+766.6%
DeepSeek,deepseek-v4-flash-202605,deepseek-v4-flash,统一价,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 $0.153846 · 出 $0.307692 · 缓 $0.003077,✅ 一致,✅ 一致
DeepSeek,deepseek-v4-pro,deepseek-v4-pro,统一价,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 ¥12 · 出 ¥24 · 缓 ¥1,入 $0.461538 · 出 $0.923077 · 缓 $0.003846,⚠ 入+300% 出+300% 缓+3900%,⚠ 缓+900%
DeepSeek,deepseek-v4-pro-202606,deepseek-v4-pro,统一价,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 $0.461538 · 出 $0.923077 · 缓 $0.003846,✅ 一致,✅ 一致
MiniMax,minimax-m2.5,minimax-m2.5,统一价,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.21,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.21,入 $0.323077 · 出 $1.292308 · 缓 $0.032308,✅ 一致,✅ 一致
MiniMax,minimax-m2.7,minimax-m2.7,统一价,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 $0.323077 · 出 $1.292308 · 缓 $0.064615,✅ 一致,✅ 一致
MiniMax,minimax-m3,minimax-m3,输入<=512k,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 $0.323077 · 出 $1.292308 · 缓 $0.064615,✅ 一致,✅ 一致
,,,512k<输入,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.42,入 ¥4.2 · 出 ¥16.8 · 缓 ¥0.84,入 $0.646154 · 出 $2.584615 · 缓 $0.129231,⚠ 入+100% 出+100% 缓+100%,✅ 一致
