model,display_name,tier,tier_key,online_usd,draft_usd,delta_usd,delta_pct,verdict
gemini-2.5-flash-image,Gemini 2.5 Flash Image,—,uniform,,,,,缺项
gemini-3.1-flash-image,Gemini 3.1 Flash Image,—,uniform,,,,,缺项
gemini-3.1-flash-lite-image,Gemini 3.1 Flash Lite Image,—,uniform,,,,,缺项
gpt-image-2,GPT Image 2,—,uniform,,,,,缺项
gpt-image-2-discount,GPT Image 2 Discount,1k,res:1k,0.06,0.06,0,0,一致
gpt-image-2-discount,GPT Image 2 Discount,2k,res:2k,0.06,0.06,0,0,一致
gpt-image-2-discount,GPT Image 2 Discount,4k,res:4k,0.06,0.06,0,0,一致
qwen-0925,Qwen-0925,1k,res:1k,0.0385,0.034483,-0.004017,-10.4,降价
qwen-0925,Qwen-0925,2k,res:2k,0.0385,0.034483,-0.004017,-10.4,降价
qwen-0925,Qwen-0925,4k,res:4k,0.0385,0.034483,-0.004017,-10.4,降价
viduq2-image,Vidu Q2 Image,1k,res:1k,0.03,0.03,0,0,一致
viduq2-image,Vidu Q2 Image,2k,res:2k,0.04,0.04,0,0,一致
viduq2-image,Vidu Q2 Image,4k,res:4k,0.05,0.05,0,0,一致
