model,displayName,pricingMode,tierLabel,inputUsd,outputUsd,cacheUsd,cacheCreationUsd,updatedAt
gemini-2.5-flash-image,Gemini 2.5 Flash Image,legacy,—,,,,,2026-08-07T07:08:20.896967Z
gemini-3.1-flash-image,Gemini 3.1 Flash Image,legacy,—,,,,,2026-08-11T11:19:40.522837Z
gemini-3.1-flash-lite-image,Gemini 3.1 Flash Lite Image,legacy,—,,,,,2026-08-11T11:19:40.777573Z
GG-2.5,Nano-2.5,image_tiered,2k,,,,,2026-06-08T16:00:00Z
GG-3.0,Nano-3.0,image_tiered,1k,,,,,2026-06-08T16:00:00Z
GG-3.1,Nano-3.1,image_tiered,lt_1k,,,,,2026-06-08T16:00:00Z
gpt-image-2,GPT Image 2,legacy,—,,,,,2026-08-07T07:08:24.146205Z
Hunyuan-3.0,Hunyuan-3.0,image_tiered,1k,,,,,2026-06-08T16:00:00Z
Jimeng-4.0,Jimeng-4.0,image_tiered,1k,,,,,2026-06-08T16:00:00Z
Kling-2.1,Kling-2.1,image_tiered,2k,,,,,2026-06-08T16:00:00Z
Kling-3.0,Kling-3.0,image_tiered,1k,,,,,2026-06-08T16:00:00Z
Kling-3.0-omni,Kling-3.0-Omni,image_tiered,1k,,,,,2026-06-08T16:00:00Z
Kling-O1,Kling-O1,image_tiered,1k,,,,,2026-06-08T16:00:00Z
MJ-v7,Midjourney-v7,image_tiered,1k,,,,,2026-06-08T16:00:00Z
qwen-0925,Qwen-0925,image_tiered,1k,,,,,2026-06-08T16:00:00Z
SI-4.0,Seedream-4.0,image_tiered,1k,,,,,2026-06-08T16:00:00Z
SI-4.5,Seedream-4.5,image_tiered,1k,,,,,2026-06-08T16:00:00Z
SI-5.0-lite,Seedream-5.0-lite,image_tiered,1k,,,,,2026-06-08T16:00:00Z
viduq2-image,Vidu Q2 Image,image_tiered,1k,,,,,2026-08-14T04:00:46.523301Z
