分区,模型,分辨率,含视频,请求数,token,占比%
明细,—,—,—,61560,18106949961,100.0000
明细,dreamina-seedance-2-5-260628,1080p,否,9540,5014306807,27.6927
明细,dreamina-seedance-2-5-260628,480p_720p,否,22149,4647894451,25.6691
明细,dreamina-seedance-2-0-260128,480p_720p,否,10664,1698174546,9.3786
明细,dreamina-seedance-2-5-260628,1080p,是,1560,1522565883,8.4087
明细,dreamina-seedance-2-0-260128,1080p,否,3328,1230593899,6.7963
明细,dreamina-seedance-2-5-260628,480p_720p,是,2491,1077392323,5.9502
明细,dreamina-seedance-2-0-260128,4k,否,532,780165764,4.3087
明细,dreamina-seedance-2-0-fast-260128,480p_720p,否,5896,616065445,3.4024
明细,dreamina-seedance-2-0-260128,4k,是,137,387191678,2.1384
明细,dreamina-seedance-2-0-260128,1080p,是,503,333089724,1.8396
明细,dreamina-seedance-2-0-260128,480p_720p,是,995,321258536,1.7742
明细,dreamina-seedance-2-0-mini-260615,480p_720p,否,3123,300559295,1.6599
明细,dreamina-seedance-2-0-fast-260128,480p_720p,是,371,91001572,0.5026
明细,dreamina-seedance-2-0-mini-260615,480p_720p,是,271,86690038,0.4788

小计,模型,分辨率,含视频,请求数,token,占比%
按模型,dreamina-seedance-2-5-260628,,,35740,12262159464,67.7207
按模型,dreamina-seedance-2-0-260128,,,16159,4750474147,26.2356
按模型,dreamina-seedance-2-0-fast-260128,,,6267,707067017,3.9049
按模型,dreamina-seedance-2-0-mini-260615,,,3394,387249333,2.1387

按分辨率,480p_720p,,,45960,8839036206,48.8157
按分辨率,1080p,,,14931,8100556313,44.7373
按分辨率,4k,,,669,1167357442,6.4470

按含视频,否,,,55232,14287760207,78.9076
按含视频,是,,,6328,3819189754,21.0924
